actual,predicted
pre-flowering,pre-flowering
pre-flowering,pre-flowering
pre-flowering,pre-flowering
pre-flowering,flowering-stage-1
flowering-stage-2,flowering-stage-2
flowering-stage-2,post-flowering
flowering-stage-2,flowering-stage-2
flowering-stage-2,flowering-stage-2
flowering-stage-2,flowering-stage-2
flowering-stage-2,post-flowering
flowering-stage-1,flowering-stage-2
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-2
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-2
flowering-stage-1,pre-flowering
flowering-stage-1,flowering-stage-1
flowering-stage-1,pre-flowering
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
flowering-stage-1,flowering-stage-1
post-flowering,post-flowering
post-flowering,post-flowering
